Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071514900KF,Intel,Core i9-14900KF,1,131,3318,https://cpu.userbenchmark.com/SpeedTest/2212218/IntelR-CoreTM-i9-14900KF
CPU,BX8071514900K,Intel,Core i9-14900K,2,131,5214,https://cpu.userbenchmark.com/Intel-Core-i9-14900K/Rating/4151
CPU,BX8071513900KS,Intel,Core i9-13900KS,3,131,4204,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS
CPU,BX8071514700K,Intel,Core i7-14700K,4,130,5171,https://cpu.userbenchmark.com/Intel-Core-i7-14700K/Rating/4152
CPU,BX8071514700KF,Intel,Core i7-14700KF,5,130,2276,https://cpu.userbenchmark.com/SpeedTest/2212020/IntelR-CoreTM-i7-14700KF
CPU,BX8071513900KF,Intel,Core i9-13900KF,6,129,16914,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF
CPU,BX8071513900K,Intel,Core i9-13900K,7,129,49132,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129
CPU,BX8071513700KF,Intel,Core i7-13700KF,8,126,20009,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,BX8071513700K,Intel,Core i7-13700K,9,126,41056,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,BX8071513900F,Intel,Core i9-13900F,10,124,595,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F
CPU,BX8071513900,Intel,Core i9-13900,11,124,685,https://cpu.userbenchmark.com/SpeedTest/1977296/13th-Gen-IntelR-CoreTM-i9-13900
CPU,BX8071514600K,Intel,Core i5-14600K,12,124,1601,https://cpu.userbenchmark.com/Intel-Core-i5-14600K/Rating/4153
CPU,BX8071514600KF,Intel,Core i5-14600KF,13,124,2234,https://cpu.userbenchmark.com/SpeedTest/2213004/IntelR-CoreTM-i5-14600KF
CPU,100-100000908WOF,AMD,Ryzen 9 7950X3D,14,122,629,https://cpu.userbenchmark.com/SpeedTest/2052977/AMD-Ryzen-9-7950X3D-16-Core-Processor
CPU,BX8071513600K,Intel,Core i5-13600K,15,122,27559,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134
